size,device,run,t_total
256,CPU,1,19.490870
256,CPU,2,19.478827
256,CPU,3,19.476880
256,CPU,4,19.467855
256,CPU,5,19.480857
512,CPU,1,77.904465
512,CPU,2,77.887847
512,CPU,3,77.880899
512,CPU,4,77.924921
512,CPU,5,77.875270
1024,CPU,1,311.590206
1024,CPU,2,311.523347
1024,CPU,3,311.569184
1024,CPU,4,311.599013
1024,CPU,5,311.571106
2048,CPU,1,1246.523775
2048,CPU,2,1246.946722
2048,CPU,3,1246.551927
2048,CPU,4,1246.112355
2048,CPU,5,1246.539804
4096,CPU,1,4992.587031
