size,device,run,t_total
256,GPU,1,0.017139
256,GPU,2,0.016985
256,GPU,3,0.016989
256,GPU,4,0.016934
256,GPU,5,0.016935
512,GPU,1,0.050905
512,GPU,2,0.050696
512,GPU,3,0.050862
512,GPU,4,0.050767
512,GPU,5,0.050964
1024,GPU,1,0.172880
1024,GPU,2,0.149705
1024,GPU,3,0.148085
1024,GPU,4,0.150612
1024,GPU,5,0.149804
2048,GPU,1,0.594905
2048,GPU,2,0.595348
2048,GPU,3,0.593553
2048,GPU,4,0.593969
2048,GPU,5,0.593527
4096,GPU,1,2.357047
